+------------+-------------------+
| Pair:      | Frequency:        | 
+------------+-------------------+
| rr         | 2.061856          | 
| nn         | 1.030928          | 
| rv         | 1.030928          | 
| nt         | 2.061856          | 
| fo         | 2.061856          | 
| se         | 3.092784          | 
| wo         | 2.061856          | 
| ic         | 2.061856          | 
| ec         | 1.030928          | 
| ca         | 2.061856          | 
| us         | 2.061856          | 
| on         | 3.092784          | 
| ut         | 2.061856          | 
| ed         | 2.061856          | 
| ss         | 2.061856          | 
| st         | 2.061856          | 
| or         | 6.185567          | 
| il         | 2.061856          | 
| sw         | 2.061856          | 
| os         | 2.061856          | 
| in         | 1.030928          | 
| io         | 2.061856          | 
| ai         | 2.061856          | 
| en         | 2.061856          | 
| gr         | 2.061856          | 
| co         | 1.030928          | 
| er         | 4.123711          | 
| es         | 2.061856          | 
| ve         | 1.030928          | 
| ct         | 1.030928          | 
| pa         | 2.061856          | 
| as         | 2.061856          | 
| rd         | 2.061856          | 
| at         | 2.061856          | 
| tg         | 2.061856          | 
| re         | 2.061856          | 
| th         | 3.092784          | 
| au         | 2.061856          | 
| ti         | 5.154639          | 
| ne         | 1.030928          | 
| ng         | 1.030928          | 
| le         | 2.061856          | 
| to         | 1.030928          | 
| fa         | 2.061856          | 
| ro         | 2.061856          | 
| he         | 3.092784          | 
| po         | 2.061856          | 
+------------+-------------------+
